model,threshold,tn,fp,fn,tp,precision,recall,f1
Logistic Regression,0.3,289,228,14,173,0.4314214463840399,0.9251336898395722,0.5884353741496599
Logistic Regression,0.4,324,193,28,159,0.45170454545454547,0.8502673796791443,0.5899814471243042
Logistic Regression,0.5,366,151,40,147,0.49328859060402686,0.786096256684492,0.6061855670103093
Logistic Regression,0.6,409,108,51,136,0.5573770491803278,0.7272727272727273,0.6310904872389791
Random Forest,0.3,329,188,26,161,0.46131805157593125,0.8609625668449198,0.6007462686567164
Random Forest,0.4,377,140,41,146,0.5104895104895105,0.7807486631016043,0.6173361522198731
Random Forest,0.5,414,103,59,128,0.5541125541125541,0.6844919786096256,0.6124401913875598
Random Forest,0.6,454,63,83,104,0.6227544910179641,0.5561497326203209,0.5875706214689266
XGBoost,0.3,381,136,45,142,0.5107913669064749,0.7593582887700535,0.610752688172043
XGBoost,0.4,423,94,58,129,0.57847533632287,0.6898395721925134,0.6292682926829268
XGBoost,0.5,456,61,84,103,0.6280487804878049,0.5508021390374331,0.586894586894587
XGBoost,0.6,491,26,112,75,0.7425742574257426,0.40106951871657753,0.5208333333333333
